Query ID	Neighbor ID	Neighbor Pfam	SSN Query Cluster #	SSN Query Cluster Color	Query-Neighbor Distance	Query-Neighbor Directions
A6W1X0	A6W1W9	PF00361	1	#FF0000	01	normal-normal
A0A1A8TB00	A0A1A8TC56	PF00361	1	#FF0000	01	complement-complement
A0A0F4PRM4	A0A0F4Q3H3	PF00361	1	#FF0000	01	complement-complement
G4QL46	G4QL47	PF00361	1	#FF0000	01	complement-complement
A0A0F4QHF4	A0A0F4QEI6	PF00361	1	#FF0000	01	normal-normal
A0A0X3TBM9	A0A0X3TAH7	PF00361	1	#FF0000	01	normal-normal
Q31HC3	Q31HC4	PF00361	1	#FF0000	01	normal-normal
A0A1N6DK18	A0A1N6DJU6	PF00361	1	#FF0000	01	normal-normal
F5T0H8	F5T0H9	PF00361	1	#FF0000	01	complement-complement
A0A0P7ZR95	A0A0P7XLM9	PF00361	1	#FF0000	01	complement-complement
A0A2T0X2B9	A0A2T0X2D3	PF00361	1	#FF0000	09	complement-complement
A0A1W2DS03	A0A1W2DRW9	PF00361	1	#FF0000	01	normal-normal
K2Q6L0	K2QID0	PF00361	1	#FF0000	01	complement-complement
A0A0Q7XWW2	A0A0Q7XQF4	PF00361	1	#FF0000	01	complement-complement
A0A0Q8BDQ9	A0A0Q8BDP0	PF00361	1	#FF0000	01	complement-complement
A0A1L8PNC9	A0A1L8PNA1	PF00361	1	#FF0000	01	normal-normal
A0A1D7NL45	A0A1D7NLK9	PF00361	1	#FF0000	01	complement-complement
A0A2L0GJU3	A0A2L0GK99	PF00361	1	#FF0000	01	complement-complement
A0A2N4WUG5	A0A2N4WUI2	PF00361	1	#FF0000	01	normal-normal
A0A1G9KXN4	A0A1G9KXD8	PF00361	1	#FF0000	01	normal-normal
A0A0D1EGX8	A0A0D1DAE1	PF00361	1	#FF0000	01	normal-normal
A0A2V1P957	A0A2V1P5B9	PF00361	1	#FF0000	01	complement-complement
A0A1G5HPV2	A0A1G5HQ59	PF00361	1	#FF0000	01	normal-normal
A0A2V2L704	A0A2V2LCW3	PF00361	1	#FF0000	16	normal-normal
A0A2V2L704	A0A2V2L6Q4	PF00361	1	#FF0000	14	normal-normal
A0A0D6T8I2	A0A0D6T9M9	PF00361	1	#FF0000	01	complement-complement
A0A1G8Y9Q6	A0A1G8YB32	PF00361	1	#FF0000	01	normal-normal
A0A248K2M4	A0A248K2G7	PF00361	1	#FF0000	01	complement-complement
A0A2T4YFE6	A0A2T4YFD6	PF00361	1	#FF0000	14	complement-complement
A0A074JF46	A0A074JHT7	PF00361	1	#FF0000	01	normal-normal
A0A059IQX4	A0A059IQN8	PF00361	1	#FF0000	01	complement-complement
A0A1G8RB07	A0A1G8RAY2	PF00361	1	#FF0000	01	complement-complement
A6FKX1	A6FKX0	PF00361	1	#FF0000	01	normal-normal
A0A1H3L331	A0A1H3L2M3	PF00361	1	#FF0000	01	complement-complement
A0A166SQC4	A0A166TVL9	PF00361	1	#FF0000	01	normal-normal
A0A2G1MC74	A0A2G1MCE7	PF00361	1	#FF0000	01	complement-complement
A0A2R8BX87	A0A2R8BX06	PF00361	1	#FF0000	01	normal-normal
A3K4X1	A3K4X0	PF00361	1	#FF0000	01	normal-normal
A0A1M6LVL9	A0A1M6LVR5	PF00361	1	#FF0000	01	complement-complement
A0A1X6ZBE1	A0A1X6ZCW4	PF00361	1	#FF0000	01	complement-complement
A0A1M5F860	A0A1M5F884	PF00361	1	#FF0000	01	complement-complement
A0A1J0WFG8	A0A1J0WFG9	PF00361	1	#FF0000	01	complement-complement
A0A1I5Q3V6	A0A1I5Q4S5	PF00361	1	#FF0000	01	normal-normal
A0A0B3SW27	A0A0B3S6N6	PF00361	1	#FF0000	01	normal-normal
A0A1B6YFP1	A0A1B6YFU4	PF00361	1	#FF0000	01	complement-complement
A0A2K8K8N4	A0A2K8K8P8	PF00361	1	#FF0000	18	normal-complement
A0A0M7BFB4	A0A0M7BB52	PF00361	1	#FF0000	01	complement-complement
A8LSC5	A8LSC4	PF00361	1	#FF0000	01	normal-normal
X7F3L9	X7F5Y4	PF00361	1	#FF0000	01	normal-normal
A0A2G2HX66	A0A2E6LA75	PF00361	1	#FF0000	01	normal-normal
A0A1L3SXX9	A0A1L3SXK9	PF00361	1	#FF0000	01	complement-complement
A0A0P9EA54	A0A0N8PMN7	PF00361	1	#FF0000	01	complement-complement
A0A2T2WLT5	A0A2T2WLU3	PF00361	1	#FF0000	01	normal-normal
A0A1A6C743	A0A1A6C721	PF00361	1	#FF0000	13	complement-normal
A0A1E4NX92	A0A1E4NWM6	PF00361	1	#FF0000	18	normal-normal
A0A1E4NX92	A0A1E4NWR9	PF00361	1	#FF0000	15	normal-normal
C6HYI8	C6HYI7	PF00361	1	#FF0000	01	normal-normal
A0A1I1SGP0	A0A1I1S6T9	PF00361	1	#FF0000	01	complement-complement
A0A1B3PMR1	A0A1B3PJY4	PF00361	1	#FF0000	01	normal-normal
A0A2U1C9T4	A0A2U1C9R5	PF00361	1	#FF0000	01	normal-normal
K2JPC3	K2KF33	PF00361	1	#FF0000	01	complement-complement
A0A151JFA2	A0A151JEX6	PF00361	1	#FF0000	01	complement-complement
A0A1H6CB77	A0A1H6CB08	PF00361	1	#FF0000	01	complement-complement
A0A1I6H6W8	A0A1I6H753	PF00361	1	#FF0000	01	complement-complement
A0A1M5PQ43	A0A1M5PQR1	PF00361	1	#FF0000	01	complement-complement
Q9KRQ4	Q9KRQ5	PF00361	1	#FF0000	01	normal-normal
A4XTW5	A4XTW4	PF00361	1	#FF0000	01	normal-normal
F6ADY2	F6ADY3	PF00361	1	#FF0000	01	complement-complement
A0A0U4P2C8	A0A0U4WI59	PF00361	1	#FF0000	01	complement-complement
U2YZU9	U2ZHU7	PF00361	1	#FF0000	01	normal-normal
A0A2E2HRA7	A0A2E8C5Z4	PF00361	1	#FF0000	01	normal-normal
A0A1E5X5U6	A0A1E5X5K9	PF00361	1	#FF0000	01	complement-complement
A0A024HFH1	A0A024HEZ5	PF00361	1	#FF0000	01	normal-normal
A0A254NDV1	A0A254NDJ4	PF00361	1	#FF0000	01	complement-complement
A0A0Q7ARR2	A0A0Q7ADJ3	PF00361	1	#FF0000	01	normal-normal
A0A257C4D5	A0A257C5H7	PF00361	1	#FF0000	01	normal-normal
K0IEB9	K0I571	PF00361	1	#FF0000	01	normal-normal
A0A0F5JXG2	A0A0F5JVT9	PF00361	1	#FF0000	01	complement-complement
F4G5R8	F4G5R9	PF00361	1	#FF0000	01	complement-complement
A0A257DBM9	A0A257DA85	PF00361	1	#FF0000	01	normal-normal
A0A0U2UNS0	A0A0U3EQE9	PF00361	1	#FF0000	01	normal-normal
D4GCR6	D4GCR5	PF00361	1	#FF0000	01	normal-normal
C6X808	C6X807	PF00361	1	#FF0000	01	normal-normal
A0A1I2HN38	A0A1I2HQC7	PF00361	1	#FF0000	01	normal-normal
F1W4B8	F1W4B9	PF00361	1	#FF0000	01	complement-complement
A0A2N6DRE4	A0A2N6DRG0	PF00361	1	#FF0000	01	complement-complement
A0A1I2JCC3	A0A1I2JCB5	PF00361	1	#FF0000	01	normal-normal
A0A2N7VBD5	A0A2N7VBD6	PF00361	1	#FF0000	01	complement-complement
A0A2N7W6A7	A0A2N7W6B1	PF00361	1	#FF0000	01	normal-normal
A0A2S5SRF4	A0A2S5SRJ0	PF00361	1	#FF0000	01	complement-complement
A0A147GQY2	A0A147GPZ9	PF00361	1	#FF0000	01	complement-complement
A9ASJ1	A0A0H3KQL7	PF00361	1	#FF0000	01	normal-normal
C5ALA6	C5ALA5	PF00361	1	#FF0000	01	normal-normal
F5R7A4	F5R7A3	PF00361	1	#FF0000	01	normal-normal
D8IV80	D8IV79	PF00361	1	#FF0000	01	normal-normal
I0HQW7	I0HQW8	PF00361	1	#FF0000	01	complement-complement
A0A1H9LB05	A0A1H9LBH9	PF00361	1	#FF0000	01	normal-normal
A1TUD6	A1TUD7	PF00361	1	#FF0000	01	complement-complement
A0A2K9L7J8	A0A2K9L7L4	PF00361	1	#FF0000	01	normal-normal
A0A0K8NVP0	A0A0K8NWM5	PF00361	1	#FF0000	01	complement-complement
A0A0G3EQF0	A0A0G3ENM1	PF00361	1	#FF0000	01	complement-complement
A0A1Y0NE98	A0A1Y0NC50	PF00361	1	#FF0000	01	normal-normal
A0A2R4XKL0	A0A2R4XKL5	PF00361	1	#FF0000	01	normal-normal
I4WKV6	I4WKV8	PF00361	1	#FF0000	02	complement-complement
W8X1V5	W8X2L4	PF00361	1	#FF0000	01	normal-normal
A0A0K1PJH3	A0A0K1PJT3	PF00361	1	#FF0000	01	normal-normal
A0A1M6SBS6	A0A1M6SCE3	PF00361	1	#FF0000	01	complement-complement
A0A160N3T1	A0A160N4J9	PF00361	1	#FF0000	01	complement-complement
A0A259R2Z6	A0A259R327	PF00361	1	#FF0000	01	normal-normal
A0A2E0X3H4	A0A2E0X354	PF00361	1	#FF0000	01	normal-normal
A0A2T0RLN1	A0A2T0RLT7	PF00361	1	#FF0000	03	complement-complement
A0A2T0RLN1	A0A2T0RLM9	PF00361	1	#FF0000	05	complement-complement
X7E829	X7E9W4	PF00361	1	#FF0000	01	complement-complement
A0A0W1SHN3	A0A0W1SI88	PF00361	1	#FF0000	01	normal-normal
A0A1I4ZN04	A0A1I4ZLG5	PF00361	1	#FF0000	09	complement-normal
A0A1I4ZN04	A0A1I4ZLV7	PF00361	1	#FF0000	08	complement-normal
A0A1I4ZN04	A0A1I4ZMG9	PF00361	1	#FF0000	07	complement-normal
M7CUI8	M7D7R1	PF00361	1	#FF0000	01	normal-normal
A0A2G5QQU7	A0A2G5QQS4	PF00361	1	#FF0000	01	complement-complement
A0A2E5S402	A0A2E5S5F1	PF00361	1	#FF0000	01	complement-complement
I3THL8	I3THL7	PF00361	1	#FF0000	01	normal-normal
A0A1A7R609	A0A1A7R4W3	PF00361	1	#FF0000	01	normal-normal
S7V623	S7V6W8	PF00361	1	#FF0000	01	complement-complement
A0A1W1YUT5	A0A1W1YUU0	PF00361	1	#FF0000	01	complement-complement
A0A0S1S807	A0A0S1SAF2	PF00361	1	#FF0000	01	normal-normal
A0A1T5B5N9	A0A1T5B4X6	PF00361	1	#FF0000	01	normal-normal
A0A1G7DE53	A0A1G7DCV0	PF00361	1	#FF0000	01	complement-complement
A0A1H9PDP0	A0A1H9PDJ0	PF00361	1	#FF0000	01	normal-normal
A0A2N1G5W3	A0A2N1G6N9	PF00361	1	#FF0000	01	normal-normal
A0A1B9E047	A0A1B9E053	PF00361	1	#FF0000	01	complement-complement
A0A2S1LAD3	A0A2S1L9U3	PF00361	1	#FF0000	01	normal-normal
A0A0C5WCU4	A0A0C5W7H6	PF00361	1	#FF0000	01	normal-normal
A0A1I5DFY3	A0A1I5DG06	PF00361	1	#FF0000	01	complement-complement
A0A2K8XAY5	A0A2K8XAU4	PF00361	1	#FF0000	01	complement-complement
A0A2S7WFQ4	A0A2S7WFM6	PF00361	1	#FF0000	01	complement-complement
A0A2S7WDY9	A0A2S7WDC0	PF00361	1	#FF0000	01	normal-normal
L7WDU9	L7WH25	PF00361	1	#FF0000	01	normal-normal
A0A2K1DVI4	A0A2K1DVK5	PF00361	1	#FF0000	01	complement-complement
A0A2G2JNG9	A0A2G2JQU8	PF00361	1	#FF0000	01	normal-normal
A0A2T6AIS0	A0A2T6AIZ0	PF00361	1	#FF0000	01	complement-complement
K4IKT4	K4IGQ5	PF00361	1	#FF0000	01	complement-complement
I3YZ63	I3YZ64	PF00361	1	#FF0000	01	complement-complement
A0A1G7VX92	A0A1G7VY21	PF00361	1	#FF0000	01	normal-normal
I3Z7B2	I3Z7B3	PF00361	1	#FF0000	01	complement-complement
A0A179DBY1	A0A179DBS9	PF00361	1	#FF0000	01	normal-normal
A0A223V239	A0A223V217	PF00361	1	#FF0000	01	normal-normal
A0A2G5KGG5	A0A2G5KGC6	PF00361	1	#FF0000	01	normal-normal
A0A090VWZ7	A0A090VPC0	PF00361	1	#FF0000	01	normal-normal
A0A1H9B995	A0A1H9B9P5	PF00361	1	#FF0000	01	complement-complement
A0A1H1L706	A0A1H1L6B8	PF00361	1	#FF0000	01	complement-complement
A0A1G7PYJ3	A0A1G7PYB8	PF00361	1	#FF0000	01	normal-normal
A0A1I0SPW2	A0A1I0SMR2	PF00361	1	#FF0000	01	normal-normal
E4NVU6	E4NVU7	PF00361	1	#FF0000	01	complement-complement
A0A1H6J8P2	A0A1H6J121	PF00361	1	#FF0000	12	complement-normal
A0A1H6J8P2	A0A1H6J6V0	PF00361	1	#FF0000	14	complement-normal
W6TF53	W6TEF1	PF00361	1	#FF0000	01	normal-normal
A0A0A8URK3	A0A0A8UVG1	PF00361	1	#FF0000	01	complement-complement
A0A142XVK4	A0A142XWE3	PF00361	1	#FF0000	01	normal-normal
A0A1H4AJ09	A0A1H4AIR8	PF00361	1	#FF0000	01	complement-complement
A0A0F6BMU1	A0A0F6BMU2	PF00361	1	#FF0000	01	complement-complement
A0A023DJ21	A0A023DJ92	PF00361	1	#FF0000	01	normal-normal
L0EJU8	L0EIR6	PF00361	1	#FF0000	01	normal-normal
T0CIQ0	T0C917	PF00361	1	#FF0000	01	normal-normal
A0A0Q3WS46	A0A0Q3WRP9	PF00361	1	#FF0000	01	complement-complement
A0A2N3LK81	A0A2N3LK57	PF00361	1	#FF0000	01	complement-complement
A0A1H0RQQ5	A0A1H0RQT5	PF00361	1	#FF0000	01	complement-complement
W4QDC5	W4QCG9	PF00361	1	#FF0000	01	normal-normal
A0A1L8ZHH8	A0A1L8ZHJ2	PF00361	1	#FF0000	01	normal-normal
A0A0F5HS82	A0A0F5HTD1	PF00361	1	#FF0000	01	normal-normal
E6SIM7	E6SIM6	PF00361	1	#FF0000	01	normal-normal
C6J138	C6J143	PF00361	1	#FF0000	05	normal-normal
A0A133Q3T3	A0A133Q3U6	PF00361	1	#FF0000	01	normal-normal
Q4L3A8	Q4L3A7	PF00361	1	#FF0000	01	complement-complement
A0A1V1YX72	A0A1V1YX82	PF00361	1	#FF0000	01	complement-complement
Q2G0W1	Q2G0W2	PF00361	1	#FF0000	01	normal-normal
A0A0N0Z5D7	A0A0N1KFK6	PF00361	1	#FF0000	01	complement-complement
K9ADI4	K9ARQ2	PF00361	1	#FF0000	01	normal-normal
J9HUP4	J9HEN2	PF00361	1	#FF0000	01	normal-normal
C8WU33	C8WU32	PF00361	1	#FF0000	01	normal-normal
A0A0C9NKZ5	A0A0C9PCJ1	PF00361	1	#FF0000	01	normal-normal
I3IIT9	I3IIU0	PF00361	1	#FF0000	01	normal-normal
I3IIT9	I3IIU2	PF00361	1	#FF0000	03	normal-normal
A0A0M2USR7	A0A0M2UU79	PF00361	1	#FF0000	02	complement-complement
A0A172X773	A0A172X733	PF00361	1	#FF0000	01	normal-normal
A0A1S2I315	A0A1S2I2S5	PF00361	1	#FF0000	01	normal-normal
A0A0D8HGQ9	A0A0D8HGC3	PF00361	1	#FF0000	01	complement-complement
A0A0J6WJ87	A0A0J6WL92	PF00361	1	#FF0000	01	normal-normal
V5XJ55	V5XEC9	PF00361	1	#FF0000	01	complement-complement
A0A2C9SVC2	A0A2C9SWX3	PF00361	1	#FF0000	01	complement-complement
A0A178LW35	A0A178LWL3	PF00361	1	#FF0000	01	normal-normal
A0A2A7NK23	A0A2A7NKQ1	PF00361	1	#FF0000	01	complement-complement
A0A0Q2RW67	A0A0Q2XDX0	PF00361	1	#FF0000	01	complement-complement
A0A1X1QYS2	A0A1X1QYI6	PF00361	1	#FF0000	07	normal-complement
A0A1X1QYS2	A0A1X1QYV6	PF00361	1	#FF0000	04	normal-complement
A0A1X1QYS2	A0A1X1QYJ4	PF00361	1	#FF0000	01	normal-normal
X7Y6F2	X7Y7D6	PF00361	1	#FF0000	01	normal-normal
A0A2P8CRD9	A0A2P8CRB9	PF00361	1	#FF0000	01	normal-normal
X7XRP2	X7XT87	PF00361	1	#FF0000	01	complement-complement
A0A239AG22	A0A239AG89	PF00361	1	#FF0000	01	complement-complement
A0A1H0CVR3	A0A1H0CWW6	PF00361	1	#FF0000	01	complement-complement
A0A2C8Z6Z7	A0A2C8Z6T4	PF00361	1	#FF0000	01	complement-complement
A0A1I3H5V5	A0A1I3H609	PF00361	1	#FF0000	01	complement-complement
A0A095VNM6	A0A095VND5	PF00361	1	#FF0000	07	normal-normal
A0A095VNM6	A0A095WWG7	PF00361	1	#FF0000	09	normal-normal
A0A2T4V2M6	A0A2T4V2P9	PF00361	1	#FF0000	02	complement-complement
S9P4M1	S9QS13	PF00361	1	#FF0000	02	complement-complement
A0A250I8N1	A0A250I730	PF00361	1	#FF0000	02	normal-normal
A0A085WX01	A0A085WX03	PF00361	1	#FF0000	02	normal-normal
A0A0G2ZFB6	A0A0G2ZNF3	PF00361	1	#FF0000	02	complement-complement
L7U386	L7U2J2	PF00361	1	#FF0000	02	complement-complement
A0A017T271	A0A017T1T5	PF00361	1	#FF0000	02	normal-normal
A0A0K1E7A4	A0A0K1E787	PF00361	1	#FF0000	02	normal-normal
A9FF39	A9FF31	PF00361	1	#FF0000	02	complement-complement
A9FF39	A9FF71	PF00361	1	#FF0000	09	complement-complement
A9FF39	A9FF84	PF00361	1	#FF0000	12	complement-complement
A9G4L9	A9G4L0	PF00361	1	#FF0000	02	complement-complement
S4Y3U3	S4XYZ2	PF00361	1	#FF0000	02	complement-complement
A0A0F6YGT8	A0A0F6SDU2	PF00361	1	#FF0000	02	complement-complement
A0A1I1Z2S0	A0A1I1Z426	PF00361	1	#FF0000	02	complement-complement
A0A1H3X8V8	A0A1H3XAX1	PF00361	1	#FF0000	03	complement-complement
A0A1H3X8V8	A0A1H3XA25	PF00361	1	#FF0000	02	complement-complement
A0A1H3X8V8	A0A1H3X9E0	PF00361	1	#FF0000	03	complement-complement
I3BTI6	I3BTI5	PF00361	1	#FF0000	01	normal-normal
I3BTI6	I3BTI8	PF00361	1	#FF0000	02	normal-normal
I3BTI6	I3BTI9	PF00361	1	#FF0000	03	normal-normal
A0A011NU83	A0A011PP86	PF00361	1	#FF0000	01	normal-normal
A0A011NU83	A0A011MZW0	PF00361	1	#FF0000	01	normal-normal
A0A011NU83	A0A011NU51	PF00361	1	#FF0000	02	normal-normal
A0A011NU83	A0A011MEB0	PF00361	1	#FF0000	03	normal-normal
A0A011P2D8	A0A011N839	PF00361	1	#FF0000	01	normal-normal
A0A1A8XU77	A0A1A8XSP0	PF00361	1	#FF0000	02	complement-complement
A0A1A8XU77	A0A1A8XSN1	PF00361	1	#FF0000	01	complement-complement
C7RLG2	C7RLG1	PF00361	1	#FF0000	01	normal-normal
C7RLG2	C7RLG4	PF00361	1	#FF0000	02	normal-normal
C7RLG2	C7RLG5	PF00361	1	#FF0000	03	normal-normal
A0A080M7L4	A0A080M9W7	PF00361	1	#FF0000	03	complement-complement
A0A080M7L4	A0A080M8E7	PF00361	1	#FF0000	02	complement-complement
A0A080M7L4	A0A080MJ51	PF00361	1	#FF0000	01	complement-complement
A0A011QKE7	A0A011P3C9	PF00361	1	#FF0000	07	normal-normal
A0A011QKE7	A0A011PPU9	PF00361	1	#FF0000	04	normal-normal
A0A011QKE7	A0A011RE14	PF00361	1	#FF0000	01	normal-normal
A0A011QKE7	A0A011QJE8	PF00361	1	#FF0000	02	normal-normal
A0A011QKE7	A0A011P3F4	PF00361	1	#FF0000	03	normal-normal
D5BYH1	D5BY45	PF00361	1	#FF0000	03	complement-complement
D5BYH1	D5BY46	PF00361	1	#FF0000	02	complement-complement
D5BYH1	D5BYH2	PF00361	1	#FF0000	01	complement-complement
Q3JBP4	Q3JBP7	PF00361	1	#FF0000	03	complement-complement
Q3JBP4	Q3JBP6	PF00361	1	#FF0000	02	complement-complement
Q3JBP4	Q3JBP3	PF00361	1	#FF0000	01	complement-complement
A0A126T5Z3	A0A126T518	PF00361	1	#FF0000	02	normal-normal
A0A126T5Z3	A0A126T513	PF00361	1	#FF0000	02	normal-normal
A0A126T5Z3	A0A126T519	PF00361	1	#FF0000	03	normal-normal
A0A1W9JWM0	A0A1W9JVW2	PF00361	1	#FF0000	02	normal-normal
A0A1W9JWM0	A0A1W9JVT9	PF00361	1	#FF0000	02	normal-normal
A0A1W9JWM0	A0A1W9JVW7	PF00361	1	#FF0000	03	normal-normal
G0A338	G0A335	PF00361	1	#FF0000	03	complement-complement
G0A338	G0A336	PF00361	1	#FF0000	02	complement-complement
G0A338	G0A339	PF00361	1	#FF0000	01	complement-complement
A0A0C3NV80	A0A0C3RNC1	PF00361	1	#FF0000	01	normal-normal
A0A0C3NV80	A0A0C3RR64	PF00361	1	#FF0000	02	normal-normal
A0A1H7H2N4	A0A1H7H3P9	PF00361	1	#FF0000	03	complement-complement
A0A1H7H2N4	A0A1H7H0I8	PF00361	1	#FF0000	02	complement-complement
A0A1H7H2N4	A0A1H7H166	PF00361	1	#FF0000	01	complement-complement
A0A1Q4BND9	A0A1Q4BP98	PF00361	1	#FF0000	03	complement-complement
A0A1Q4BND9	A0A1Q4BNH6	PF00361	1	#FF0000	02	complement-complement
A0A1Q4BND9	A0A1Q4BNE9	PF00361	1	#FF0000	01	complement-complement
A0A1W6SNA8	A0A1W6SNE7	PF00361	1	#FF0000	03	complement-complement
A0A1W6SNA8	A0A1W6SND4	PF00361	1	#FF0000	02	complement-complement
A0A1W6SNA8	A0A1W6SNC6	PF00361	1	#FF0000	01	complement-complement
G3IXF8	G3IXF7	PF00361	1	#FF0000	01	normal-normal
G3IXF8	G3IXG1	PF00361	1	#FF0000	03	normal-normal
G3IXF8	G3IXG2	PF00361	1	#FF0000	04	normal-normal
A0A1H3NWL5	A0A1H3NWC1	PF00361	1	#FF0000	02	complement-complement
A0A1H3NWL5	A0A1H3NWN8	PF00361	1	#FF0000	01	complement-complement
A0A1G5SEM4	A0A1G5SCE6	PF00361	1	#FF0000	03	complement-complement
A0A1G5SEM4	A0A1G5SD01	PF00361	1	#FF0000	02	complement-complement
A0A1G5SEM4	A0A1G5SDE9	PF00361	1	#FF0000	01	complement-complement
V5C3U2	V5BYZ8	PF00361	1	#FF0000	01	normal-normal
V5C3U2	V5BDV3	PF00361	1	#FF0000	02	normal-normal
V5C3U2	V5DVT1	PF00361	1	#FF0000	03	normal-normal
A0A1Y2ZV47	A0A1Y2ZV07	PF00361	1	#FF0000	01	complement-complement
A0A1H8IIY0	A0A1H8IKY1	PF00361	1	#FF0000	01	normal-normal
A0A1H8IIY0	A0A1H8IJN2	PF00361	1	#FF0000	02	normal-normal
A0A1I4FUM5	A0A1I4FST1	PF00361	1	#FF0000	01	normal-normal
A0A1I4FUM5	A0A1I4FS43	PF00361	1	#FF0000	02	normal-normal
F8GHY2	F8GHX9	PF00361	1	#FF0000	03	complement-complement
F8GHY2	F8GHY0	PF00361	1	#FF0000	02	complement-complement
F8GHY2	F8GHY3	PF00361	1	#FF0000	01	complement-complement
A0A1R4HFK6	A0A1R4HFK4	PF00361	1	#FF0000	03	complement-complement
A0A1R4HFK6	A0A1R4HFI4	PF00361	1	#FF0000	02	complement-complement
A0A1R4HFK6	A0A1R4HFK9	PF00361	1	#FF0000	01	complement-complement
A0A177NET2	A0A177NDP6	PF00361	1	#FF0000	02	complement-complement
A0A177NET2	A0A177NEA2	PF00361	1	#FF0000	01	complement-complement
A0A1S1XYJ7	A0A1S1XY72	PF00361	1	#FF0000	03	complement-complement
A0A1S1XYJ7	A0A1S1XY53	PF00361	1	#FF0000	02	complement-complement
A0A1S1XYJ7	A0A1S1XZE9	PF00361	1	#FF0000	01	complement-complement
A0A172U4L1	A0A172U549	PF00361	1	#FF0000	01	normal-normal
A0A172U4L1	A0A172U423	PF00361	1	#FF0000	02	normal-normal
A0A172U4L1	A0A172U467	PF00361	1	#FF0000	03	normal-normal
H8GPU9	H8GPU8	PF00361	1	#FF0000	01	normal-normal
H8GPU9	H8GPV1	PF00361	1	#FF0000	02	normal-normal
H8GPU9	H8GPV2	PF00361	1	#FF0000	03	normal-normal
W6M1U6	W6M8B3	PF00361	1	#FF0000	03	complement-complement
W6MDB1	W6M4K4	PF00361	1	#FF0000	01	normal-normal
A0A1Y6CVU2	A0A1Y6CV39	PF00361	1	#FF0000	03	complement-complement
A0A1Y6CVU2	A0A1Y6CV18	PF00361	1	#FF0000	02	complement-complement
A0A1Y6CVU2	A0A1Y6D1R8	PF00361	1	#FF0000	01	complement-complement
Q60BG5	Q60BG6	PF00361	1	#FF0000	01	normal-normal
Q60BG5	Q60BG3	PF00361	1	#FF0000	02	normal-normal
Q60BG5	Q60BG2	PF00361	1	#FF0000	03	normal-normal
A0A1E2UYE4	A0A1E2UYX0	PF00361	1	#FF0000	01	normal-normal
A0A1E2UYE4	A0A1E2UXY1	PF00361	1	#FF0000	02	normal-normal
A0A1E2UYE4	A0A1E2UXY5	PF00361	1	#FF0000	03	normal-normal
A0A1E2ZE23	A0A1E2ZEC3	PF00361	1	#FF0000	01	normal-normal
A0A1E2ZE23	A0A1E2ZE18	PF00361	1	#FF0000	02	normal-normal
A0A1E2ZE23	A0A1E2ZE28	PF00361	1	#FF0000	03	normal-normal
A0A1T2KSL5	A0A1T2KSN7	PF00361	1	#FF0000	03	complement-complement
A0A1T2KSL5	A0A1T2KSL2	PF00361	1	#FF0000	02	complement-complement
